"transID","payCardID","corridorPK","direction","tapInTime","tapInStopPK","stopStartSeq","tapOutTime","tapOutStopPK","stopEndSeq","payAmount"
AAAB241Q2R43WX,180029435580718,1,1,"2023-04-14 12:38:43",1,2,"2023-04-14 14:00:46",1475,43,0
AAAG491F4U05HS,6011618540818377,2,0,"2023-04-07 16:26:42",2,41,"2023-04-07 17:52:47",2569,45,0
AAAT556I9Y53OO,4752851022235137,3,1,"2023-04-14 20:14:06",3,16,"2023-04-14 21:19:58",2404,23,0
AACO541N0A39UF,4483881844493578,4,1,"2023-04-14 08:15:03",4,51,"2023-04-14 10:14:59",2570,56,0
AACU637E4F11IF,374911260215393,5,1,"2023-04-24 19:39:43",5,4,"2023-04-24 20:32:24",1021,21,3500
AADA789U1D21DU,30583455954585,6,1,"2023-04-12 06:26:39",6,8,"2023-04-12 06:56:07",432,15,0
AADS567N5H73CF,379311975236617,7,0,"2023-04-22 13:56:22",7,4,"2023-04-22 14:20:22",1820,6,0
AADT596Y5S36RD,373286421882964,8,1,"2023-04-28 07:22:57",8,4,"2023-04-28 07:57:01",1916,10,3500
AADW349U3P61AF,213193665773269,9,0,"2023-04-20 20:04:32",9,21,"2023-04-20 20:55:28",13,24,3500
AADY796V9K17FV,3531742475032842,10,0,"2023-04-24 18:24:31",10,15,"2023-04-24 19:44:40",20,18,3500
AADZ829J1A91AD,4969389181181692,11,0,"2023-04-10 07:08:49",11,14,"2023-04-10 09:02:03",2571,18,3500
AAEB470N5V01SQ,375635714547874,12,1,"2023-04-16 06:22:07",12,4,"2023-04-16 07:08:43",34,12,3500
AAEF231Y0J60PI,4974804949914047,13,1,"2023-04-13 05:50:48",13,22,"2023-04-13 06:44:12",2572,24,3500
AAEU515S0W17DE,2238533576611255,14,0,"2023-04-12 08:32:43",14,19,"2023-04-12 09:03:41",90,30,0
AAEX920K5M81GF,4909284437358495207,,0,"2023-04-12 16:29:38",15,26,"2023-04-12 18:09:16",1590,29,3500
AAGB155U3G40TA,3511110900198436,195,1,"2023-04-11 20:07:00",16,7,"2023-04-11 21:34:54",1400,24,0
AAGH471T9K45QM,378884680600534,15,0,"2023-04-22 21:25:06",17,1,"2023-04-22 22:21:42",2262,3,3500
AAGK545G8X28NP,4450080570279470,16,1,"2023-04-04 05:16:26",18,5,"2023-04-04 05:57:01",997,21,3500
AAHF378I1J30GI,6507536585974874,17,0,"2023-04-17 17:53:37",8,9,"2023-04-17 18:54:06",2338,12,3500
AAHM166X5E83MK,2402313549139274,18,1,"2023-04-07 19:02:35",19,13,"2023-04-07 20:42:15",35,15,3500
AAIR727A0N19VX,30471989684136,19,1,"2023-04-25 17:56:43",20,16,"2023-04-25 18:50:05",1115,21,3500
AAIS645G3L86HF,6521040134321754,20,0,"2023-04-10 06:07:58",21,0,"2023-04-10 06:55:48",1637,6,3500
AAJC499T1A37TI,4460340818222811297,21,0,"2023-04-17 18:07:38",22,35,"2023-04-17 18:57:47",1953,38,3500
AAJV713W9C06AH,4228391009711723,22,0,"2023-04-14 07:54:01",23,1,"2023-04-14 08:39:12",2236,8,0
AAKG386A0J86WO,213133401291382,23,1,"2023-04-10 17:33:24",24,3,"2023-04-10 19:21:25",425,21,3500
AAKV602Q8L51OI,570928206772,24,1,"2023-04-21 16:37:02",25,15,"2023-04-21 17:45:29",1799,17,3500
AALB293Y2D55RO,569536767183,25,1,"2023-04-20 19:06:08",26,26,"2023-04-20 20:17:54",2573,32,0
AALD709S7H04CR,4993628236551825,26,0,"2023-04-13 12:21:00",27,28,"2023-04-13 12:46:29",2574,30,0
AALT724O0P29RE,36709320968021,27,1,"2023-04-14 18:26:55",28,15,"2023-04-14 20:20:07",112,27,3500
AAMG292E1X49NY,4956563442422641,28,1,"2023-04-16 17:27:23",29,1,"2023-04-16 18:58:55",2575,11,0
AAMJ894X4E82NS,4247047725165183,29,0,"2023-04-21 07:07:17",30,2,"2023-04-21 08:58:30",2576,47,0
AAMQ409Y7G10DQ,371937801787353,37,0,"2023-04-07 09:12:37",31,16,"2023-04-07 09:39:01",571,26,3500
AAMR778S2L06HY,6509546148313351,30,1,"2023-04-19 16:45:15",32,3,"2023-04-19 17:39:57",2073,7,3500
AAOT965K7E30DG,3523401971692951,182,0,"2023-04-21 06:22:59",33,18,"2023-04-21 06:46:44",2577,19,0
AAQT144S1I29YY,2271334495240039,31,1,"2023-04-22 16:42:32",34,3,"2023-04-22 18:18:08",2178,22,3500
AARA919S2X15VU,4767711653196,32,0,"2023-04-19 09:14:41",35,11,"2023-04-19 09:57:39",705,12,3500
AARE347I6A03HC,342370004909630,10,1,"2023-04-05 16:57:09",36,3,"2023-04-05 18:29:25",1118,9,3500
AARN930Y0G21MI,30385017224303,33,0,"2023-04-18 05:56:06",37,7,"2023-04-18 06:53:28",2578,25,0
AARQ968Z5D96OB,676266186037,26,0,"2023-04-26 21:35:47",38,10,"2023-04-26 22:32:33",2579,12,0
AASV643S7Q46RC,6595765906487927,34,0,"2023-04-19 09:16:23",39,17,"2023-04-19 10:42:11",70,18,
AATT251W1Z62KT,4709994160903,35,1,"2023-04-24 05:31:35",40,10,"2023-04-24 06:20:30",2580,12,20000
AATU796L5V72EP,60404498697,36,0,"2023-04-20 08:35:04",41,38,"2023-04-20 10:16:25",1769,45,0
AAUR558S9B87ZH,4868766606269426510,161,0,"2023-04-10 05:41:10",42,36,"2023-04-10 06:16:47",1826,41,0
AAUX387S2Q54ZT,371937801787353,37,1,"2023-04-07 18:25:45",43,35,"2023-04-07 20:06:54",2581,36,3500
AAVK200J5M96XF,30412791717573,38,1,"2023-04-27 07:48:11",44,18,"2023-04-27 08:45:15",2058,43,0
AAVR178K5W03BY,3535601073732219,39,0,"2023-04-11 17:03:20",45,15,"2023-04-11 18:43:15",2582,22,0
AAXI397O9U94YY,346348443002072,33,1,"2023-04-13 21:21:48",46,2,"2023-04-13 22:14:51",2583,5,0
AAXL965W0O84WH,4556326832434362836,40,1,"2023-04-12 06:05:40",47,10,"2023-04-12 06:34:53",622,11,3500
AAXO539K2Q70LA,2254018175787390,41,1,"2023-04-04 20:32:44",48,11,"2023-04-04 21:51:08",1056,16,0
AAYL226Q2X78WT,180092456265254,42,0,"2023-04-27 20:43:50",49,14,"2023-04-27 21:44:20",1738,26,3500
AAYN415T4C43NH,6594531889548841,38,1,"2023-04-20 09:39:59",50,44,"2023-04-20 10:19:57",242,46,0
AAZO671F4P90UD,4394677357168120,43,1,"2023-04-17 16:02:17",51,7,"2023-04-17 17:34:58",282,16,3500
AAZS226E7T49LG,6582901155320791,44,1,"2023-04-06 08:52:29",52,10,"2023-04-06 10:10:19",2584,19,0
ABAF363V5R11YK,2276099634138221,45,0,"2023-04-10 20:57:51",53,21,"2023-04-10 22:54:42",396,22,3500
ABAL072A6G10NW,3516006502484403,46,1,"2023-04-04 16:12:59",54,8,"2023-04-04 17:28:14",282,25,3500
ABAL505F7M16HH,6573313022751813,47,0,"2023-04-04 09:34:02",55,13,"2023-04-04 11:29:21",2585,15,0
ABAR096J1E28SE,180022972730457,48,1,"2023-04-14 06:57:25",56,2,"2023-04-14 07:32:43",121,10,3500
ABBM765C2F77OE,30256261072781,49,0,"2023-04-30 10:39:27",57,16,"2023-04-30 12:01:17",1862,22,0
ABBN869O7I93AW,348056817539268,17,0,"2023-04-17 09:01:00",58,1,"2023-04-17 10:11:27",67,19,3500
ABBT992B9E54CO,6011158789391307,50,0,"2023-04-09 07:10:35",59,23,"2023-04-09 08:33:14",390,31,3500
ABCC851P3R17SM,2720497305962063,51,0,"2023-04-12 20:26:35",60,10,"2023-04-12 21:44:11",2250,18,3500
ABDC755N0A09KN,30438939516312,52,1,"2023-04-24 08:29:58",61,4,"2023-04-24 09:28:23",465,12,20000
ABDF527R0I45QK,4224452028283146,53,1,"2023-04-05 20:47:52",62,2,"2023-04-05 22:37:45",298,8,0
ABDR391D1S97IA,6011656090843460,54,1,"2023-04-13 11:24:18",63,21,"2023-04-13 11:46:36",2586,26,3500
ABDV632M5N59MI,4946543493373,55,1,"2023-04-12 18:57:09",64,9,"2023-04-12 20:27:07",2587,14,0
ABEO039D6V77VS,6573313022751813,47,1,"2023-04-25 20:10:08",65,10,"2023-04-25 21:39:37",1174,14,0
ABEO197U1G80UU,213155822653833,56,1,"2023-04-17 16:31:59",66,10,"2023-04-17 18:27:45",1338,15,0
ABFG546B7B25RT,4498767637558201,57,1,"2023-04-13 16:10:17",67,13,"2023-04-13 17:42:31",452,15,3500
ABFK412M2W34EI,4266760335382388,58,0,"2023-04-06 08:10:50",68,37,"2023-04-06 09:54:18",1863,46,0
ABFM278K9B12ZR,213125070843980,59,0,"2023-04-15 08:14:41",69,0,"2023-04-15 09:16:28",825,2,20000
